vacancy.creation-date,0
2022-03-05,8
2022-04-12,6
2022-01-25,6
2022-03-03,5
2022-04-07,5
2022-04-28,4
2022-01-14,4
2022-01-19,4
2022-04-08,4
2022-04-27,4
2022-03-11,3
2022-04-13,3
2022-04-26,3
2022-04-25,2
2022-02-18,2
2022-02-17,2
2022-04-04,2
2022-03-02,2
2022-03-14,2
2022-01-26,2
2022-04-21,2
2022-01-21,2
2022-04-18,2
2022-03-21,2
2022-03-22,1
2022-03-15,1
2022-03-16,1
2022-03-17,1
2022-04-15,1
2022-03-29,1
2022-03-31,1
2022-04-16,1
2022-04-05,1
2022-04-06,1
2022-04-22,1
2022-04-14,1
2022-04-02,1
2019-01-10,1
2022-03-09,1
2022-02-08,1
2021-11-01,1
2021-11-08,1
2021-11-10,1
2021-12-01,1
2021-12-08,1
2021-12-30,1
2022-01-11,1
2022-01-12,1
2022-01-28,1
2022-01-31,1
2022-02-01,1
2022-02-09,1
2022-03-08,1
2022-02-10,1
2022-02-11,1
2022-02-14,1
2022-02-15,1
2022-02-16,1
2022-02-21,1
2022-02-22,1
2022-02-23,1
2022-02-25,1
2022-02-28,1
2021-05-12,1
2022-03-01,1
