,name
Юрист по взысканию дебиторской задолженности с физических лиц,2
Главный специалист отдела производственной безопасности (промышленная безопасность),2
"Специалист по охране труда и промышленной безопасности, г. Верхний Тагил",2
Начальник Группы Охраны,2
"Старший специалист по взысканию задолженности, Удаленно",2
Специалист по охране труда (Кемерово),2
Начальник сторожевой охраны,2
Охранник в школу-интернат,2
Полицейский изолятора временного содержания подозреваемых и обвиняемых,2
Специалист по обслуживанию технических средств охраны,2
Ведущий специалист ГОТ и ПБ (Красноярский край),2
Ведущий специалист по работе с проблемными активами,2
"Специалист по охране труда, технике безопасности и промышленной безопасности",2
Дежурный по стоянке,2
Инспектор службы безопасности (Московского центрального кольца),2
Специалист по безопасности дорожного движения (БДД),2
Полицейский водитель отдельной роты охраны и конвоирования подозреваемых и обвиняемых,2
"Специалист по ОТ, промышленной безопасности и экологии ММК-Джошкуноз-Алабуга",2
Ведущий специалист,2
"Инспектор группы по досмотру пассажиров, ручной клади и багажа",2
Агент выездного взыскания по работе с залоговым портфелем и сопровождению ИП,2
Оператор видеонаблюдения (м. Кировский завод),2
Специалист телефонного взыскания задолженности,2
Ведущий специалист отдела обеспечения безопасности,2
Инженер по охране труда и промышленной безопасности (Строительство),2
Заместитель директора по экономической безопасности,2
Специалист по охране труда (г. Норильск),2
Менеджер по работе с дебиторской задолженностью,2
Охранник контролёр,2
Директор-заместитель генерального директора ЧОП,2
Стрелок ведомственной охраны,2
"Начальник отдела по охране труда, экологии и промышленной безопасности",2
Охранник на стационарный пост,2
"Начальник отдела охраны труда, окружающей среды и промышленной безопасности",2
Ведущий специалист по ГО и ЧС,2
Главный специалист по противодействию страхового мошенничества,2
Контроллер Торгового Зала,2
Охранник (г. Шлиссельбург),2
"Главный эколог (Тверская обл., г. Бежецк)",2
Контролер Торгового Зала,2
Специалист по охране труда (в г. Фурманов),2
Дежурный администратор (охранник),2
Директор частного охранного предприятия (Директор ЧОП),2
Старший охраны объекта,2
"Начальник караула, г. Покров",2
"Специалист по розыску транспортных средств, удаленно",2
Инженер по охране труда и промышленной безопасности Апрельское месторождение,2
Охранник в загородный отель,2
Ведущий специалист по пожарной профилактике,2
Специалист по ГО и пожарной безопасности в с.Скворцово,2
Охранник (п. Дубровка),2
Охранник в банк (м. Чернышевская),2
Ведущий специалист отдела пожарной безопасности,2
Сотрудник МВД,2
Охранник (Контролер КПП),2
Контролер КПП (охранник),2
Контроллер-охранник,2
Главный специалист промышленной безопасности,2
Сторож (в цех),2
"Ведущий специалист по ОТ,ТБ,ПБ,ГО и ЧС",2
Специалист по охране труда (возможен гибкий график),2
Полицейский/полицейский (водитель),2
Эколог (г. Березники),2
Специалист отдела досудебного взыскания,2
"Охранник - контролер в УКД (г. Солнечногорск, ул. Красная,д.176)",2
Юрист по взысканию задолженности (Займы под автомобиль),2
Специалист по взысканию задолженности (удаленно),2
Дежурный администратор,2
Инспектор (дорожно-патрульной службы),2
Инженер по охране окружающей среды (Эколог),2
Полицейский ОВ ППСП,2
Аналитик службы безопасности,2
Специалист видеонаблюдения,2
Охранник-инкассатор 6 разряд,2
Военнослужащий по контракту,2
Охранник подразделения охраны,2
"Инженер по пожарной безопасности, гражданской обороне и чрезвычайным ситуациям",2
"Ведущий специалист по охране труда и промышленной безопасности (г. Котельниково, Волгоградская обл.)",2
Полицейский группы охраны и конвоирования подозреваемых и обвиняемых,2
Сотрудник экономической безопасности,2
"Инженер по охране труда, ГО и ЧС",2
"Полицейский, г. Москва",2
Главный специалист по пожарной безопасности (г. Норильск),2
Полицейский отдельного взвода охраны и конвоирования подозреваемых и обвиняемых,2
Заместитель начальника подразделения военизированной охраны,2
Главный специалист по информационной безопасности (Maxpatrol) [id120608],2
Юрист по взысканию задолженности,2
Контролер-распорядитель (стюард),2
Контролер на КПП,2
Охранник - контролер (г. Козельск Калужской области),2
Инженер отдела охраны труда,2
"Ведущий инженер (промышленного, экологического контроля и производственного обучения)",2
Специалист отдела по охране труда и промышленной безопасности,2
Охранник в Бизнес-Центр (м. Балтийская),2
Инженер по пожарной безопасности ГО и ЧС,2
Полицейский (Вневедомственная охрана),2
Главный эксперт Департамента безопасности,2
Инспектор службы безопасности (Арбатско-Покровская линия),2
Инспектор службы безопасности (Замоскворецкая линия),2
Ведущий специалист по работе с ФССП (взыскание задолженности),2
Инспектор службы безопасности (Сокольническая линия),2
Инспектор службы безопасности (Люблинская линия),2
Инспектор отдела режима,2
"Специалист бюро пожарной безопасности, ГО и ЧС",2
Заместитель начальника пожарно-спасательной части в пгт. Ставрово,2
Администратор-охранник в рестораны Токио-City,2
Боец ОМОН,2
"Инспектор/Охранник/Вахтер, Москва",2
Начальник охраны группы объектов,2
Начальник/Главный специалист/Ведущий специалист инженерно-технического обеспечения,2
Начальник отдела методологии и аудита (охрана труда и промышленная безопасность),2
Заместитель директора по охране труда и промышленной безопасности,2
Охранник ГБР (группа быстрого реагирования),2
Специалист отдела технологического контроля (Супервайзер-эколог/инженер-эколог),2
Специалист по специальной оценке условий труда (выездной специалист),2
Участковый уполномоченный полиции ОУУП и ПДН,2
Инженер по ОТ и ТБ (охране труда и технике безопасности),2
Специалист отдела безопасности объектов,2
Сотрудник ГБР (Группа быстрого реагирования),2
Полицейский патрульно-постовой службы ОМВД России по Белоярскому району,2
Специалист управления архитектуры ИБ SAP (Разработчик) [id9828],2
Охранник на частную территорию,2
Администратор-охранник в рестораны ТОКИО-CITY,2
Контролер - охранник (г.Белгород),2
Заместитель генерального директора по экономической безопасности,2
Специалист (паспортный контроль),2
Вахтер-контролер,2
Лесовод,2
Охранник жилого комплекса,2
Сотрудник ГБР (водитель),2
Начальник пожарной части,2
Ведущий специалист Отдела охраны труда и окружающей среды,2
"Специалист по ОТ, надзору за опасными объектами, ГОиЧС (Армавир)",2
Участковый уполномоченный полиции отдела УУП и ПДН ОМВД России по Волосовскому району ЛО,2
Полицейский отделения патрульно-постовой службы полиции,2
Главный специалист Группы экологических изысканий,2
Электромонтер,2
Инспектор-контролёр,2
Начальник отдела по охране труда промышленной безопасности и охране окружающей среды,2
Главный специалист по промышленной безопасности,2
Руководитель направления по пожарной безопасности и делам гражданской обороны и ЧС,2
Контролёр КПП,2
Ведущий инспектор Отдела выездного взыскания,2
"Специалист по охране труда, противопожарной профилактике, ГО и ЧС",2
"Главный специалист по охране труда, экологии, промышленной и пожарной безопасности",2
"Старший полицейский, полицейский (водитель)",2
Руководитель отдела по охране труда и промышленной безопасности,2
Специалист по охране труда (пгт.Забайкальск),2
Старший смены Группы быстрого реагирования,2
"Заместитель начальника Управления ОТ, ПБ, и ООС",2
Специалист по ГО ЧС и пожарной безопасности (г. Мегион),2
Заместитель руководителя службы охраны,2
Главный специалист по ГО и ЧС,2
Охранник на базу,2
Специалист службы безопасности (Гусевский район),2
"Специалист по охране труда и промышленной безопасности (ЯНАО, Мессояха)",2
Начинающий специалист по охране труда,2
"Следователь следственного отдела МО МВД России ""Кашинский""",2
Ведущий специалист отдела охраны труда,2
Специалист по охране труда со знанием английского языка,2
"Полицейский ОВ ППСП МО МВД России ""Бежецкий""",2
Инспектор группы быстрого реагирования,2
Эксперт по санитарной безопасности в гипермаркет Ашан,2
Инженер пожарных систем (дымоудаление),2
Специалист службы безопасности (охранник),2
Помощник специалиста по охране труда,2
Инженер службы безопасности,2
Техник пожарных систем (СОУЭ),2
Специалист бюро пропусков,2
Охранник в гипермаркет строительных товаров,2
Аналитик DLP [id81942],2
Контролер-администратор,2
Охранник (4-6 разряд) / Сотрудник ГБР,2
Специалист по безопасности РЦ,2
Специалист-аналитик службы безопасности,2
Охранник в Оперный театр,2
Специалист по промышленной и пожарной безопасности,2
"Полицейский ОМВД России по р. Ивановское, г Москвы",2
Ведущий специалист по охране труда и технике безопасности,2
Стрелок военизированной охраны,2
Старший полицейский/полицейский (водитель),2
Специалист внутреннего контроля,2
Охранник (в г.Норильск),2
"Контролер / Охранник (ТРК ""Кубус"")",2
Инженер по наладке и испытаниям 3 категории,2
Полицейский (патрульный),2
Специалист по охране труда (Иркутская область),2
Специалист отдела по охране труда,2
Охранник/Дежурный по безопасности,2
Инженер охраны труда и техники безопасности,2
Эколог-проектировщик,2
Специалист отдела по работе с дебиторской задолженностью,2
Полицейский ППСп,2
"Инженер по охране труда, промышленной безопасности и экологии",2
Инспектор службы региональной безопасности,2
"Супервайзер по ОТ, ПБ и ООС (охрана труда в ЯНАО)",2
Охранник (4-6 разряд) / Сотрудник гбр,2
"Охранник в отель ""Домина""",2
"Контролер службы безопасности (Вахта. Москов. обл., г. Дзержинский)",2
Ведущий специалист отдела экономической безопасности,2
Полицейский 5 отдела полиции УВД на ММ ГУ МВД России по г. Москве,2
Главный специалист по охране труда (Химки),2
Сотрудник полиции на Московском метрополитене,2
"Главный специалист по технике безопасности, охране труда и экологии",2
Водитель-телохранитель,2
Оператор видеонаблюдения (Оперный театр),2
Специалист по охране труда и безопасности дорожного движения,2
Тренер-преподаватель по производственной безопасности,2
Охранник (транспортная безопасность),2
Руководитель службы охраны,2
Начальник службы охраны нефтепромысла,2
Почтальон по сопровождению,2
Специалист отдела взыскания ЗЖМ,2
Оперуполномоченный полиции,2
Водитель-сотрудник,2
Охранник 6 разряда (патрульная группа),2
Оперуполномоченный уголовного розыска/участковый уполномоченный полиции,2
Инспектор по пожарной безопасности,2
"Оперуполномоченный ОУР МО МВД России ""Кимрский""",2
Заведующий отделением (специальностью),2
"Начальник службы по промышленной безопасности, охраны труда и окружающей среды",2
Инженер ОПС,2
Главный специалист по экономической безопасности,2
Охранник на стройку,2
"Охранник, г. Новосибирск",2
Специалист экономической безопасности,2
Оператор пульта охраны,2
Охранник (Петрозаводск),2
Специалист по охране труда (РЦ Косулино),2
Контролер группы складских и производственных операций,2
"Следователь следственного отдела МО МВД России ""Ржевский""",2
Машинист тепловоза (Симферопольское локомотивное депо),2
Сотрудник по сопровождению судопроизводства,2
Охранник сопровождения грузов,2
Ведущий инспектор,2
"Специалист по охране труда, экологии и промышленной безопасности",2
Старший инкассатор,2
Младший инспектор службы Федеральной службы войск национальной гвардии Российской Федерации,2
Оператор видеоконтроля отдела охраны,2
"Специалист по охране труда, пожарной безопасности и гражданской обороне",2
Инженер по опасным производственным объектам,2
Контролёр торгового зала,2
Начальник отдела охраны окружающей среды,2
Контролер по охране и обеспечению порядка,2
Охранник 4 разряд,2
Ведущий специалист отдела безопасности,2
Ведущий/Главный специалист по взысканию задолженности розничных клиентов,2
"Специалист по охране труда (работа на объектах строительства в РФ, ближнем и дальнем зарубежье)",2
Охранник (бутик одежды),2
Начальник участка,2
Полицейский (Росгвардии),2
Полицейский в спецполк,2
Охранник-диспетчер,2
Охранник-водитель (ГБР),2
Главный специалист по охране труда и пожарной безопасности,2
Эколог (инженер по охране окружающей среды),2
Специалист контрольно-профилактического отдела,2
Охранник (стрелок),2
Инспектор экологического надзора,2
"Участковый уполномоченный полиции МВД России ""Кимрский""",2
"Охранник (частное домовладение), Шапсугская Дамба",2
Ведущий специалист по взысканию (Исполнительное производство),2
"Заместитель главного инженера по ОТ, ТБ и ПБ",2
Менеджер службы контроля (охранник),2
Ночной Охранник,2
"Менеджер по информационной безопасности (г. Тайшет, Иркутская обл.)",2
Специалист по выездному взысканию просроченной задолженности,2
Помощник машиниста тепловоза (Симферопольское локомотивное депо),2
Оператор отдела взыскания задолженности,2
Охранник в ТЦ Гигант (Бердское шоссе),2
"Участковый уполномоченный полиции МВД России ""Ржевский""",2
"Ведущий инженер по ОТ, ПБ и ООС",2
"Начальник службы охраны труда, промышленной безопасности и экологии",2
Охранник-кинолог,2
Контроллер КПП,2
"Старший контролер (ТЦ ""Перекресток"")",2
Пожарный-спасатель,2
Руководитель группы по работе с проблемной задолженностью,2
Старший боцман,2
Инспектор пищевого производства (промышленная безопасность),2
Контролер (охранник),2
Охранник в театр,2
Специалист группы физической защиты и охраны объектов,2
Стажер отдела охраны труда,2
Контролер отдела административного контроля,2
Инспектор охраны,2
Начальник группы охраны,2
Специалист пропускного режима,2
Специалист по обеспечению промышленной безопасности,2
Специалист отдела по экологической безопасности,2
Руководитель службы по охране труда и промышленной безопасности,2
Охранник на производство,2
Сотрудник полиции ГУ МВД России по г. Москве,2
Помощник дежурного офицера (полицейский),2
Инженер по гражданской обороне и чрезвычайным ситуациям,2
Контролер охраны,2
Контролер контрольно-пропускного пункта / Охранник / Стрелок,2
Инженер-техник ОПС,2
Главный специалист по ОТ и ПБ на проект строительства ТЭЦ в г. Норильск,2
Охранник (в Барнауле),2
Государственный инспектор,2
Дежурный контролер,2
Инженер по промышленной безопасности и охране труда,2
Специалист по охране труда (HSE),2
Оператор видеонаблюдения (Ново-Ленино),2
Помощник машиниста электропоезда,2
Командир отделения,2
Инженер/специалист по охране труда,2
Полицейский(водитель) взвода полиции,2
Геолог участковый на шахту,2
Охранник-контролер/Охранник-администратор,2
Начальник пропускного контроля (на склад),2
"Специалист по охране труда, г. Оха Сахалинской области",2
"Специалист по охране труда и промышленной безопасности, г. Ревда",2
Руководитель отдела взыскания,2
Бухгалтер-ревизор,2
Начальник отдела охраны труда и экологии,2
Специалист ОТ и ПБ,2
Контролер отдела внутреннего контроля,2
Полицейский-водитель изолятора временного содержания подозреваемых и обвиняемых,2
Руководитель по развитию судебного взыскания,2
Охранник на Север,2
Контролер торгового зала (охранник),2
Охранник на строительную площадку,2
Начальник пункта централизованной охраны,2
Эколог (г. Троицк Челябинской области),2
Охранник в офис (4-6 разряд),2
Охранник-контролёр,2
Инженер по ОТ и ТБ,2
Инженер по пожарной безопасности и охране труда,2
Оператор котельной,2
Оператор мониторной группы,2
Охранник магазина,2
Ведущий инженер по охране труда и технике безопасности,2
"Начальник Службы охраны труда, промышленной, пожарной безопасности, экологии, ГО и ЧС",2
Старший полицейский (группы задержания) взвода полиции,2
"Инженер ОТ, ТБ и ПБ",2
Полицейский (водитель) взвода полиции,2
Инспектор (по контролю на перроне) службы авиационной безопасности (САБ),2
Специалист по безопасности (г. Люберцы),2
"Контролер-охранник (м.Ладожская, ТЦ Нео)",2
Охранник/оператор видеонаблюдения,2
Специалист службы безопасности (Инспектор СБ),2
Главный специалист по охране труда (Промбезопасность),2
"Специалист по охране труда, промышленной безопасности и безопасности дорожного движения",2
"Контролер торгового зала ( ТЦ Фокус), Челябинск",2
Главный эколог,2
Специалист выездного сбора (Досудебный сбор),2
Менеджер по информационной безопасности (г. Тайшет),2
Специалист отдела по работе с клиентами,2
Охранник 4-го разряда,2
Инспектор (контрольно-справочный участок),2
Водитель полицейский,2
Специалист службы экономической безопасности / Специалист внутреннего контроля,2
Специалист промышленной безопасности,2
Руководитель службы охраны труда и пожарной безопасности,2
Полицейский Специального полка полиции ГУ МВД России по г. Москве,2
Охранник (театр),2
"Инженер по ОТ, ПБ и ООС",2
"Начальник по охране труда, пожарной безопасности и окружающей среды",2
Охранник вахта,2
Ведущий специалист по гражданской обороне и чрезвычайным ситуациям,2
"Следователь следственного отдела Межмуниципального отдела МВД России ""Кимрский""",2
Телохранитель,2
Старший контролер (охрана),2
Дежурный (охранник),2
Охранник загородного дома,2
"Специалист по охране труда, промышленной и пожарной безопасности, ООС (Норильск)",2
Специалист (взыскание дебиторской задолженности),2
Оперуполномоченный отдела экономической безопасности и противодействия коррупции,2
Техник ОПС,2
Ведущий специалист службы охраны труда,2
Полицейский конвоир,2
Инспектор-контролер КПП,2
Охранник 4 разряда (п. Стрельна),1
Пoлицeйcкий/полицейский-водителей,1
Охранник торгово-развлекательного комплекса,1
Охранник 4 разряд (м. Проспект Ветеранов),1
Охранник (ТК Торговые ряды),1
Охранник (м. Автово),1
Охранник (ТЦ Алатырь),1
Охранник (Пионерский р-н),1
Специалист по взысканию просроченной задолженности (входящая линия),1
Охранник в автосалон (м. Автово),1
"Специалист по охране труда и пожарной безопасности, экологии",1
Контролёр торгового зала/Охранник в магазине (м.Пражская),1
Охранник (г. МИНУСИНСК),1
Оператор мониторингового центра,1
Контролер торгового зала /охранник (г. Стерлитамак),1
Специалист по охране труда в складской логистике,1
Техник слаботочных систем в компанию Гольфстрим (ОПС),1
Ведущий специалист службы экологического контроля / Ведущий эколог,1
Охранник (ТЦ ПРЕМЬЕР),1
Специалист транспортной безопасности (водный транспорт) 6 категория (наблюдение и собеседование),1
Главный специалист отдела террористической защищенности,1
Контролер-охранник на производство (Волгоградский проспект/Бульвар Рокоссовского),1
Полицейский ППСП ОМВД России по Петродворцовому району г. Санкт-Петербург,1
"Главный специалист Службы РИО РДЦ (Региональный дистрибьюторский центр), Москва",1
Стрелок военизированной охраны Нерюнгринского филиала,1
Ведущий специалист отдела досудебного взыскания задолженности,1
"Специалист в сфере Техники Безопасности, Промышленной безопасности и Безопасности дорожного движения",1
Охранник (ТЦ Город Косино),1
"Контролер торгового зала, г. Сосновоборск",1
Ведущий специалист Отдела по работе с проблемной задолженностью юридических лиц,1
Контролер-охранник на базу отдыха водохранилища,1
Эксперт в веб-сервис быстрой проверки контрагентов,1
Охранник/контролер,1
Инспектор по режиму,1
Специалист по охране труда и экологиии,1
Администратор по безопасности,1
Охранник (ТЦ Европолис Ростокино),1
Охранник (сторож) в Парабельский район,1
"Специалист / инженер по охране труда, пожарной безопасности, промышленной безопасности, экологии",1
Егерь/Охотовед/Лесник,1
Специалист по охране труда на строительный объект,1
Егерь/Охотовед/Лесник (охрана участка),1
Младший инспектор группы надзора отдела безопаности и младший инспектор отдела охраны,1
Специалист внешней безопасности (охранная деятельность),1
Заместитель директора магазина (ТЦ Ашан),1
Охранник супермаркета (м. Преображенская площадь),1
Охранник на склад (м. Электросила),1
Полицейский (2-ой Специальный Батальон),1
Контролёр торгового зала/Охранник в магазине (м. Молодежная),1
Старший сотрудник охраны (ТЦ Алатырь),1
Охранник (ТЦ Галереи Чижова),1
Ведущий специалист управления охраны труда и промышленной безопасности,1
"Специалист по охране труда, пожарной безопасности и ЧС (г. Красноярск)",1
Контролер-охранник (Харьковское шоссе 4Г),1
Полицейский (водитель) Советского отдела вневедомственной охраны по г. Новосибирску,1
Охранник (ТЦ Изумрудый город),1
"Охранник, Парголово",1
Специалист транспортной безопасности (водный транспорт) 5 категория (досмотр),1
Охранник (г. Гатчина),1
Охранник (пос. Громово),1
Охранник (в Московскую область),1
Менеджер по охране труда и рискам,1
Охранник (магазин),1
Старший полицейский Советского отдела вневедомственной охраны по г. Новосибирску,1
Охранник супермаркета (м Алексеевская),1
Специалист службы безопасности (Красногорск),1
Специалист сектора безопасности Гипермаркета (г. Майкоп ул. Пионерская 273),1
Охранник (ТЦ Гостиный двор),1
"Контролер СВК, г. Калининград",1
Менеджер по продажам/руководитель проектов (системы безопасности),1
Ведущий специалист группы сопровождения телевизионной техники,1
"Охранник (ТЦ ""Мега"")",1
Сотрудник отдела безопасности ИУ,1
"Работник подразделения транспортной безопасности РЖД, г. Кунгур",1
Контролер-сторож (охранник),1
"Сотрудник подразделения транспортной безопасности, г Барнаул на сопровождение электропоездов",1
"Руководитель отдела по охране труда, промышленной и пожарной безопасности",1
"Работник подразделения транспортной безопасности РЖД, г. Новосибирск",1
Главный специалист по организации инженерно-технической защиты,1
Контролер-оператор торгового зала,1
Охранник (Самара),1
Контролер-охранник (Космонавтов),1
Охранник (Ангарск),1
Ведущий специалист по промышленной безопасности (теплоэнергетика),1
Составитель поездов с правом выезда на пути РЖД,1
Охранник с лицензией,1
Специалист по охране труда (полная или частичная занятость),1
Оперативный уполномоченный,1
Контролер по безопасности,1
Охранник-контроллер (КПП),1
Ведущий специалист по видеонаблюдению,1
Специалист по охране труда и ТБ/эколог,1
Заместитель начальника отдела пожарной безопасности,1
"Контролер-охранник (6-я Станционная, 2/3)",1
"Контролер-охранник (22 апреля, 38/8)",1
Инспектор подразделения транспортной безопасности,1
"Контролер-охранник (10 лет Октября, 136А)",1
Специалист по секретному документообороту (Ведущий инженер),1
"Контролер-охранник (4-я Челюскинцев, 64)",1
Охранник (Карасунский окр.),1
Главный специалист (ООС),1
Начальник охраны ЧОП,1
Контролёр (охранник) на КПП,1
"Преподаватель курса Охрана труда и техника безопасности, г. Москва",1
Оператор интроскопа (досмотра),1
Дежурный пульта управления охраны,1
Судебный пристав-исполнитель (Советский 1),1
Судебный пристав-исполнитель/ведущий дознаватель/делопроизводитель,1
Главный специалист по промышленной безопасности и грузоподъемным операциям,1
Охранник на объекте,1
"Специалист по охране труда, специалист гражданской обороны",1
"Специалист в области ОЗ, ТБ, ООС, БДД",1
"Охранник в ресторан ""Амур""",1
Сторож (ул. Новикова-Прибоя),1
Охранник-стрелок ведомственной охраны (Институт водного транспорта),1
"Старший охранник в ресторан и гостиницу ""Амур""",1
"Охранник/стрелок ведомственной охраны (аэропорт ""Толмачево"")",1
"Охранник-стрелок ведомственной охраны аэропорт ""Омск""",1
Начальник отдела охраны труда и промышленной безопасности и окружающей среды,1
Администратор-охранник (ТЦ Европа-Сити),1
Участковый уполномоченный полиции Отдела МВД России по Обручевскому району г. Москвы,1
Охранник (ресепшен),1
Сторож (пр. Гагарина или Казанское ш.),1
Инженер по охране труда (Алексин),1
Специалист отдела охраны труда и экологической безопасности,1
Ночной дежурный,1
Сотрудник Росгвардии (Полицейский Федеральной службы войск национальной гвардии России),1
Специалист по пожарной безопасности (Щербинка),1
Помощник оперативного дежурного дежурной части ОМВД России по Петродворцовому району г. СПб,1
"Специалист отдела охраны труда, ПБ и экологии",1
Ведущий специалист гражданской обороны и пожарной безопасности,1
Сотрудник службы контроля,1
Водитель - охранник ГБР,1
Руководитель направления исполнительного производства,1
Охранник (Район СБС),1
Специалист по направлению финансового мониторинга,1
Контролер на контрольно-пропускной пункт,1
Матрос-спасатель базы отдыха,1
Начальник отделения (Управления ведомственной охраны),1
"Контролер торгового зала (в магазин на 2 ЖД, 9)",1
"Полицейский, г. Москва (ППСП ГУ МВД России по г. Москве)",1
"Охранник (зона парковки, ТРЦ Сити-парк Град)",1
Специалист по охране труда II категории,1
"Охранник в ресторан ""Эхо""",1
Ведущий специалист по пожарной и промышленной безопасности,1
Руководитель направления по охране труда (обеспечение персонала СИЗ),1
Инспектор / младший инспектор в сизо-1 г. Калуга,1
Ведущий специалист по БДД,1
"Специалист транспортной безопасности (водный транспорт), Енисейск",1
"Инженер по охране труда, промышленной безопасности и экологии (г. Питкяранта)",1
"Охранник (стройка, склады - все посты сидячие)",1
Водитель бензовоза с ДОПОГ,1
Специалист по приему и обработке экстренных вызовов по номеру 112 г. Москвы,1
Контролер торгового зала Миндаль,1
"Контролер торгового зала в супермаркет ""Миндаль"" (с. Нижнее Санчелеево)",1
Ведущий инженер - проектировщик ПКБ (сектор АСУ),1
"Охранник в ТРЦ ""Максимир""",1
"Руководитель службы по промышленной безопасности, пожарной безопасности, ГО и ЧС",1
Охранник (ТЦ Мега-Дыбенко),1
Специалист по аренде недвижимости,1
Ведущий инженер (Инвестиционное развитие),1
Работник подразделения транспортной безопасности на сопровождение электричек г. Пермь,1
