,name
Водитель-охранник ГБР,12
Специалист выездного взыскания,12
Полицейский патрульно-постовой службы,12
Ведущий инженер по охране окружающей среды,11
Старший специалист выездного взыскания,11
Старший специалист по охране труда,11
Инженер по ОТ и ПБ,11
Младший инспектор службы контроля,11
Старший специалист по взысканию,11
Младший судебный пристав по ОУПДС,11
Контролер контрольно-пропускного пункта (охранник),11
Спасатель,11
Кинолог,11
Инженер ОТ и ТБ,11
Полицейский во 2й специальный полк полиции,11
Полицейский специального полка полиции,11
Специалист по сопровождению исполнительного производства,11
"Полицейский (водитель), Москва",11
Младший инспектор отдела охраны и отдела безопасности,11
Полицейский ГУ МВД России по г. Москве (Полк Полиции),11
Государственый инспектор межрегионального отдела по надзору за объектами нефтегазового комплекса,11
Специалист по охране окружающей среды,11
Главный специалист по пожарной безопасности,10
Специалист по ГО и ЧС,10
Контролёр службы безопасности,10
Ведущий специалист по взысканию просроченной задолженности,10
Специалист по пожарной профилактике,10
Начальник отделения почтовой связи,10
Полицейский (Полк полиции) ГУ МВД России по г. Москве,10
Полицейский 2-ой специальный батальон полка полиции,10
Контролер службы безопасности,10
Старший сотрудник смены охраны,10
"Полицейский отдела охраны ЦСН ВО Росгвардии, территория Бор г. Домодедово",10
Специалист по безопасности в Гипермаркет,10
Охранник (вахта Москва),10
Администратор объекта (охранник),10
Полицейский / полицейский (водитель),10
Сторож (вахтер),10
Специалист по работе с дебиторской задолженностью,10
"Оперуполномоченный группы безопасности и противодействия коррупции МО МВД России ""Удомельский""",10
Сотрудник ГБР,10
Ведущий специалист по охране труда (в Амурской области),10
Специалист по противопожарной профилактике,10
Полицейский (Второй специальный батальон),10
"Специалист по ОТ, ПБ и ООС",10
Охранник (стрелок) ведомственной охраны,10
Младший инспектор группы надзора отдела безопасности,10
Ведущий специалист по безопасности,10
Специалист по работе с проблемными активами,9
Специалист по информационной безопасности,9
Директор по охране труда,9
Руководитель отдела охраны труда и промышленной безопасности,9
Специалист по охране труда и экологической безопасности,9
Личный охранник,9
Полицейский (ППСП 2-ой специальный батальон),9
Начальник караула отдела охраны Можайская воспитательная колония,9
"Полицейский Специального Полка Полиции (выслуга 1 год за 1,5)",9
Специалист по работе с просроченной задолженностью,9
Охранник в магазин,9
Специалист по охране труда (Сочи),9
Специалист по охране труда 2 категории,9
Ведущий инженер по промышленной безопасности,9
Специалист отдела взыскания,9
"Охранник (в Якутию, 6 разряд)",9
Начальник отдела экономической безопасности,9
Ведущий специалист службы безопасности,9
"Специалист по охране труда (Ленинградская область, ЯНАО)",9
Специалист отдела охраны труда и промышленной безопасности,8
