name,address.city,address.city
Главный специалист эксперт отдела внедрения проектных решений в камеральном контроле,Москва,1
Главный специалист-эксперт межрегионального отдела государственной экологической экспертизы,Тула,1
Государственный инспектор труда по охране труда,Казань,1
Государственный инспектор труда по правовым вопросам (отдел по надзору в городе Набережные Челны),Набережные Челны,1
Государственный служащий в Росгвардию (ФС ВНГ РФ) в подразделение СПВО,Нижний Новгород,1
Дежурная/дежурный пульта управления,Новосибирск,1
Дознаватель,Москва,1
"Заведующий секцией склада автотранспорта, запасных частей, оборудования и материалов",Екатеринбург,1
Заведующий секцией склада вещевого имущества,Екатеринбург,1
Заместитель главы муниципального образования Крыловский район(вопросы экономики),станица Крыловская,1
Заместитель начальника отдела бухгалтерского учета,Челябинск,1
Заместитель начальника отдела камеральных проверок,Москва,1
Заместитель начальника отдела сопровождения технологий Управления модернизации налоговых органов,Москва,1
Заместитель начальника склада,Екатеринбург,1
Инженер-сапёр,Санкт-Петербург,1
Инженер-электроник,Москва,1
Инженер-электронщик (системотехник),Москва,1
Инспектор ДПС ГИБДД по г. Нижнему Новгороду,Нижний Новгород,1
Инспектор ДПС УМВД России по г. Нижнему Новгороду,Нижний Новгород,2
Инспектор полиции,Москва,1
Инструктор-кинолог,Рыбинск,1
Инструктор-кинолог отдела охраны,Санкт-Петербург,1
Испытатель вооружения,Ижевск,1
Командир отделения ведомственной пожарной части УИС,Саратов,1
Консультант отдела по обращениям,Красногорск,2
Контролер / военнослужащий по контракту войск национальной гвардии,Москва,1
Контролер проверки оснований на право пересечения государственной границы РФ,городской округ Домодедово,3
Контролёр проверки оснований на право пересечения государственной границы РФ (Москва),городской округ Домодедово,4
Менеджер,Санкт-Петербург,1
Менеджер по продаже домов,Краснодар,1
Методист,Челябинск,1
Механик (Прапорщик),Одинцово,1
Младший воспитатель (няня),Екатеринбург,1
Младший инспектор,Брянск,1
Младший инспектор,Рыбинск,1
Младший инспектор,Саратов,1
Младший инспектор,Углич,1
"Младший инспектор (отдел режима, отдел охраны)",Брянск,1
Младший инспектор дежурной службы,Санкт-Петербург,1
Младший инспектор дежурной службы отдела режима и надзора,посёлок имени Дзержинского,1
Младший инспектор комендатуры,Красноярск,1
Младший инспектор отдела безопасности,Козловка,1
Младший инспектор отдела безопасности,Самара,1
Младший инспектор отдела охраны,Козловка,1
Младший инспектор отдела охраны,Мурманск,1
Младший инспектор отдела охраны,Пермь,1
Младший инспектор отдела охраны,Самара,1
Младший инспектор отдела охраны ФКУ ИК-6 УФСИН России по Курганской области,село Иковка,1
Младший инспектор отдела охраны ФСИН,Казань,1
"Младший инспектор отдела охраны, отдела безопасности",Тольятти,1
Младший инспектор отдела режима,Сосновоборск,1
Младший инспектор отдела режима и надзора,Санкт-Петербург,1
Младший инспектор отдела режима и надзора,Саратов,1
Младший инспектор отделения профилактики пожаров,Суздаль,1
Младший инспектор/инструктор кинолог отдела охраны,посёлок городского типа Форносово,1
Младший судебный пристав по обеспечению установленного порядка деятельности судов,Москва,1
"Научный сотрудник (направления: РВиА, МТО, войсковая ПВО, ЗРВ, связь, РЭБ, инженерное обеспечение)",Тверь,1
Начальник Канцелярии,Каменск-Уральский,1
Начальник архитектурно-планировочной мастерской,Москва,1
"Начальник отдела коммунально-бытового, интендантского и хозяйственного обеспечения",Рыбинск,1
Начальник отдела сервисного обслуживания,Москва,1
Начальник склада (Прапорщик),Одинцово,11
Начальник склада (прапорщик),Одинцово,1
Начинающий специалист,Санкт-Петербург,1
"Оперативный дежурный дежурной части ОМВД России по району Северное Бутово, г. Москвы",Москва,1
Оперативный дежурный полиции,Москва,1
Оператор,Рыбинск,1
Повар (сержант),Одинцово,1
Пожарный,Казань,1
Полицейский,Москва,9
Полицейский,Санкт-Петербург,1
Полицейский (АПЛ Московского метрополитена),Москва,1
Полицейский (ВНГ),Москва,1
Полицейский (Красное село),Красное Село,6
Полицейский (Красносельский район),Красное Село,1
Полицейский (Москва),Москва,1
Полицейский (водитель Росгвардии) Москва,Москва,1
"Полицейский (водитель Росгвардии), Москва",Москва,4
Полицейский (водитель),Санкт-Петербург,1
Полицейский (водитель) В Н Г,Москва,1
Полицейский (водитель) Отдела,Москва,1
Полицейский (водитель) в ЦАО,Москва,1
Полицейский (водитель) конвоя,Кострома,1
Полицейский (водитель) сотрудник Росгвардии,Москва,1
Полицейский (кавалерист)/полицейский,Москва,1
Полицейский (кинолог),Москва,2
Полицейский (кинолог) кинологической службы,Москва,1
Полицейский (кинолог) конвоя,Кострома,1
Полицейский (метро),Москва,1
Полицейский (сотрудник) Росгвардии,Москва,1
Полицейский - водитель,Москва,1
Полицейский - водитель В Н Г,Москва,1
Полицейский - водитель Роты,Москва,1
Полицейский - водитель роты полиции,Москва,1
Полицейский - кинолог,Москва,1
Полицейский 6 ОП УВД на ММ,Москва,1
Полицейский 6 отдела полиции УВД на ММ,Москва,1
Полицейский 6 отдела полиции УВД на ММ (АПЛ),Москва,1
Полицейский 6 отдела полиции УВД на ММ (Арбатско-Покровская линия Московского метрополитена),Москва,1
Полицейский ВНГ,Москва,1
Полицейский ВНГ (Росгвардия),Москва,1
Полицейский Водитель Отдела,Москва,1
Полицейский Водитель роты полиции,Москва,1
Полицейский ПОиКПиО ГУ МВД России по г. Москве,Москва,40
Полицейский ППС,Москва,1
Полицейский Полка охраны и конвоирования подозреваемых и обвиняемых ГУ МВД России (г. Москва),Москва,8
Полицейский Росгвардии,Москва,1
Полицейский Роты,Москва,1
Полицейский УВД на ММ,Москва,1
Полицейский УВД на ММ (Арбатско-Покровская линия метро),Москва,1
Полицейский УВД на ММ ГУ МВД России по г.Москве (6 отдел полиции),Москва,1
Полицейский в Московском метрополитене,Москва,1
Полицейский в ЦАО,Москва,1
Полицейский водитель В Н Г,Москва,1
Полицейский конвоя,Кострома,1
Полицейский на АПЛ Московского метрополитена,Москва,1
Полицейский отдела,Москва,1
Полицейский отделения охраны и конвоирования,Екатеринбург,1
Полицейский патрульно-постовой службы полиции,Анжеро-Судженск,1
Полицейский патрульно-постовой службы полиции,Котлас,1
Полицейский патрульно-постовой службы полиции,Москва,1
Полицейский роты в ЦАО,Москва,1
Полицейский роты отдельного батальона 6 о/п УВД на ММ ГУ МВД России по г. Москве,Москва,1
Полицейский роты по охране объектов,Санкт-Петербург,1
Полицейский роты полиции,Москва,1
"Полицейский, полицейский - водитель, кинолог ОБ ОКПО",Красноярск,1
Полицейский-водитель (ВНГ),Москва,1
Полицейский-водитель ВНГ (Росгвардия),Москва,1
Полицейский-водитель патрульно-постовой службы полиции,Москва,1
Полицейский/старший сотрудник Росгвардии,Москва,1
Помощник менеджера,Санкт-Петербург,1
Помощник мирового судьи,Нижний Тагил,1
Помощник участкового уполномоченного полиции,посёлок городского типа Ижморский,1
Преподаватель-организатор ОБЖ,Тамбов,1
Психолог,Екатеринбург,1
Руководитель группы технической документации,Москва,1
Руководитель ликвидации чрезвычайной ситуаций,Геленджик,1
Руководитель направления систем контроля нейтронно-физических процессов,Москва,1
Секретарь судебного заседания аппарата мировых судей Ставропольского края,Железноводск,1
Следователь,Москва,1
Слесарь аварийно-восстановительных работ,Москва,1
Слесарь по ремонту электрооборудования автомобилей 5 разряда,Новороссийск,1
Сотрудник (полицейский) 6 о/п УВД на ММ,Москва,1
Сотрудник (сотрудница) на военную службу по контракту в аэропорт Шереметьево,Московская область,1
Сотрудник (сотрудница) паспортного контроля на военную службу по контракту в аэропорт Шереметьево,Московская область,2
Сотрудник 6 отдела полиции УВД на ММ,Москва,1
Сотрудник 6 отдела полиции УВД на ММ ГУ МВД России по г. Москве,Москва,1
Сотрудник ВНГ (полицейский),Москва,1
Сотрудник ППС,Москва,1
Сотрудник ППС УВД на ММ ГУ МВД России по г. Москве,Москва,1
Сотрудник ПУ ФСБ по Сахалинской области,Южно-Сахалинск,1
Сотрудник УВД на ММ (отдельный батальон 6 отдела полиции),Москва,1
Сотрудник УВД на ММ ГУ МВД России по г. Москве,Москва,1
Сотрудник УВД на ММ ГУ МВД России по г. Москве (6 отдел полиции),Москва,1
Сотрудник войск национальной гвардии,Москва,1
Сотрудник дежурной службы,Новомосковск,1
Сотрудник патрульно-постовой службы (6 отдел полиции УВД на Московском метрополитене),Москва,1
Сотрудник пограничной службы,городской округ Домодедово,1
Сотрудник пограничной службы (служба по контракту),городской округ Домодедово,1
Сотрудник подразделения паспортного контроля в аэропорт Шереметьево,Московская область,1
Сотрудник полиции,Москва,1
Сотрудник полиции (на Арбатско-Покровской линии Московского метрополитена),Москва,1
Сотрудник полиции (на Арбатско-Покровской линии метро),Москва,1
Сотрудник полиции метро (отдел полиции - Арбатско-Покровская линия),Москва,1
Сотрудник-водитель ведомственной пожарной части УИС,Саратов,1
Спасатель,Казань,1
Специалист (паспортный контроль),Московская область,1
Специалист (паспортный контроль),городской округ Химки,1
Специалист (пограничный контроль),Московская область,21
Специалист (пограничный контроль),городской округ Химки,12
Специалист - эксперт отдела социальных выплат,Кострома,1
Специалист 1 разряда контрольно-аналитического отдела,Санкт-Петербург,1
Специалист 1 разряда отдела камеральных проверок,Москва,1
Специалист 1 разряда отдела камеральных проверок,Санкт-Петербург,1
Специалист 1 разряда отдела предпроверочного анализа,Санкт-Петербург,1
Специалист 2 разряда аппарата мировых судей Ставропольского края,село Грачёвка,1
Специалист 2 разряда аппарата мировых судей Ставропольского края,село Левокумское,1
"Специалист 3 разряда отдела организационно-контрольной, кадровой, правовой и информационной работы",Чебоксары,1
Специалист отдела градостроительной политики в Управлении по обращениям граждан.,Красногорск,1
Специалист по государственным закупкам и юридическому сопровождению,Новосибирск,1
Специалист по обслуживанию систем охранной сигнализации,Лесной,1
Специалист по подшивке и формированию дел (кадровый резерв),Сыктывкар,1
Специалист по работе с клиентами МФЦ,Тула,1
Специалист по социальной работе,Санкт-Петербург,1
Специалист филиала МФЦ,Хабаровск,1
Специалист-эксперт отдела государственного экологического надзора по Тульской области,Тула,1
Старший государственный налоговый инспектор отдела камеральных проверок,Санкт-Петербург,1
Старший государственный налоговый инспектор отдела предпроверочного анализа,Санкт-Петербург,1
Старший инструктор по боевой и специальной подготовке,Соликамск,1
Старший мастер связи и специального оборудования группы,Санкт-Петербург,1
Старший полицейский сотрудник Росгвардии,Москва,1
Старший специалист 2 разряда (специалист по информатизации),Москва,1
Старшина группы обслуживания,Владимир,1
Судебный пристав-исполнитель,Москва,1
"Судебный пристав-исполнитель ОСП по Ломоносовскому округу, г. Архангельска",Архангельск,1
Судебный пристав-исполнитель Петродворцового районного отделения ГУ ФССП России по г. Санкт-Петербу,Петергоф,1
"Техник инженерно-технического обеспечения, связи и вооружения",Санкт-Петербург,1
Тракторист-машинист (прапорщик),Одинцово,6
Участковый уполномоченный полиции,Анжеро-Судженск,1
Участковый уполномоченный полиции,Москва,1
Эксперт Направления мобилизационной подготовки и мобилизации,Москва,1
